Samp_Name	Tot_Samp_Reads	Unassigned_Step_One	Assigned_Step_Three	Unassigned_Step_Three
LN_7A01_VL_380	12331865	54326	12118916	212949
LN_7A02_VL_381	14200516	42703	13897423	303093
LN_7A03_VL_382	13003054	76917	12727659	275395
LN_7A04_VL_383	15846083	362	15840338	5745
LN_7A05_VL_384	12413648	40635	12267747	145901
LN_7A06_VL_385	12976750	601709	11990894	985856
LN_7A07_VL_386	10363739	3215	10330119	33620
LN_7A08_VL_387	11443476	165135	11132887	310589
LN_7B01_VL_389	11504469	347356	11007790	496679
LN_7B02_VL_390	13544897	2637924	10411654	3133243
LN_7B03_VL_391	14946562	34291	14818496	128066
LN_7B04_VL_392	13096834	11419	13072508	24326
LN_7B05_VL_393	10457005	250990	9930841	526164
LN_7B06_VL_394	10679239	22312	10414964	264275
LN_7B07_VL_395	12195795	390308	11569258	626537
LN_7B08_VL_396	11146685	51822	10867154	279531
LN_7C01_VL_398	13409872	297383	12815656	594216
LN_7C02_VL_399	15209907	24605	14878819	331088
LN_7C03_VL_400	10824210	53624	10719054	105156
LN_7C04_VL_401	12029980	52814	11774127	255853
LN_7C05_VL_402	13120620	124243	12395037	725583
LN_7C06_VL_403	10220353	18707	10149624	70729
LN_7C07_VL_404	10032093	15801	9651074	381019
LN_7C08_VL_405	10152968	6866515	2853478	7299490
LN_7C09_VL_406	10273410	102254	9828498	444912
LN_7D01_VL_407	9951975	97525	9544253	407722
LN_7D02_VL_408	12089074	34004	11913252	175822
LN_7D03_VL_409	11175028	64158	10891169	283859
LN_7D06_VL_412	15632080	132674	15316195	315885
LN_7D07_VL_413	20066598	333342	19437950	628648
LN_7D08_VL_414	4651146	125114	4204390	446756
LN_7D09_VL_415	5442240	40038	5175885	266355
LN_7E01_VL_416	3368694	11470	3284875	83819
LN_7E02_VL_417	3269821	7584	3207964	61857
LN_7E03_VL_418	14401838	1238464	12769541	1632297
LN_7E04_VL_419	12137414	379749	11058181	1079233
LN_7E05_VL_420	13158605	26361	12916019	242586
LN_7E06_VL_421	14158939	26845	13906956	251983
LN_7E07_VL_422	14133957	106314	13841278	292679
LN_7E08_VL_423	38806051	33637	38575205	230846
LN_7E09_VL_424	11602579	27915	11386301	216278
LN_7F01_VL_425	15874331	149944	15440304	434027
LN_7F02_VL_426	11607811	83088	11199711	408100
LN_7F03_VL_427	14976668	70534	14752381	224287
LN_7F04_VL_428	13871653	47794	13656312	215341
LN_7F05_VL_429	13488766	19255	13371175	117591
LN_7F06_VL_430	15757906	143997	15399419	358487
LN_7F07_VL_431	10486132	49568	10144198	341934
LN_7F08_VL_432	13968608	273371	13223140	745468
LN_7F09_VL_433	12249661	106769	11807129	442532
LN_7G01_VL_434	12982072	38620	12702619	279453
LN_7G02_VL_435	11240936	356086	10703897	537039
LN_7G03_VL_436	10532658	145219	10222427	310231
LN_7G04_VL_437	15271701	61028	14896792	374909
LN_7G05_VL_438	10886106	306119	10151343	734763
LN_7G06_VL_439	15596903	224930	14971276	625627
LN_7G07_VL_440	13839616	251773	12952120	887496
LN_7G08_VL_441	9688618	21482	9494089	194529
LN_7G09_VL_442	11691546	494854	10997076	694470
LN_7H01_VL_443	12586114	717633	11408980	1177134
